,Italy
1/31/20,2
2/1/20,2
2/2/20,2
2/3/20,2
2/4/20,2
2/5/20,2
2/6/20,2
2/7/20,3
2/8/20,3
2/9/20,3
2/10/20,3
2/11/20,3
2/12/20,3
2/13/20,3
2/14/20,3
2/15/20,3
2/16/20,3
2/17/20,3
2/18/20,3
2/19/20,3
2/20/20,3
2/21/20,20
2/22/20,62
2/23/20,155
2/24/20,229
2/25/20,322
2/26/20,453
2/27/20,655
2/28/20,888
2/29/20,1128
3/1/20,1694
3/2/20,2036
3/3/20,2502
3/4/20,3089
3/5/20,3858
3/6/20,4636
3/7/20,5883
3/8/20,7375
3/9/20,9172
3/10/20,10149
3/11/20,12462
3/12/20,15113
3/13/20,17660
3/14/20,21157
3/15/20,24747
3/16/20,27980
3/17/20,31506
3/18/20,35713
3/19/20,41035
3/20/20,47021
3/21/20,53578
3/22/20,59138
3/23/20,63927
3/24/20,69176
3/25/20,74386
3/26/20,80589
3/27/20,86498
3/28/20,92472
3/29/20,97689
3/30/20,101739
3/31/20,105792
4/1/20,110574
4/2/20,115242
4/3/20,119827
4/4/20,124632
4/5/20,128948
4/6/20,132547
4/7/20,135586
4/8/20,139422
4/9/20,143626
4/10/20,147577
4/11/20,152271
4/12/20,156363
4/13/20,159516
4/14/20,162488
4/15/20,165155
4/16/20,168941
4/17/20,172434
4/18/20,175925
4/19/20,178972
4/20/20,181228
4/21/20,183957
4/22/20,187327
4/23/20,189973
4/24/20,192994
4/25/20,195351
4/26/20,197675
4/27/20,199414
4/28/20,201505
4/29/20,203591
4/30/20,205463
5/1/20,207428
5/2/20,209328
5/3/20,210717
5/4/20,211938
5/5/20,213013
5/6/20,214457
5/7/20,215858
5/8/20,217185
5/9/20,218268
5/10/20,219070
5/11/20,219814
5/12/20,221216
5/13/20,222104
5/14/20,223096
5/15/20,223885
5/16/20,224760
5/17/20,225435
5/18/20,225886
5/19/20,226699
5/20/20,227364
5/21/20,228006
5/22/20,228658
5/23/20,229327
5/24/20,229858
5/25/20,230158
5/26/20,230555
5/27/20,231139
5/28/20,231732
5/29/20,232248
5/30/20,232664
5/31/20,232997
6/1/20,233197
6/2/20,233515
6/3/20,233836
6/4/20,234013
6/5/20,234531
6/6/20,234801
6/7/20,234998
6/8/20,235278
6/9/20,235561
6/10/20,235763
6/11/20,236142
6/12/20,236305
6/13/20,236651
6/14/20,236989
6/15/20,237290
6/16/20,237500
6/17/20,237828
6/18/20,238159
6/19/20,238011
6/20/20,238275
6/21/20,238499
6/22/20,238720
6/23/20,238833
6/24/20,239410
6/25/20,239706
6/26/20,239961
6/27/20,240136
6/28/20,240310
6/29/20,240436
6/30/20,240578
7/1/20,240760
7/2/20,240961
7/3/20,241184
7/4/20,241419
7/5/20,241611
7/6/20,241819
7/7/20,241956
7/8/20,242149
7/9/20,242363
7/10/20,242639
7/11/20,242827
7/12/20,243061
7/13/20,243230
7/14/20,243344
7/15/20,243506
7/16/20,243736
7/17/20,243967
7/18/20,244216
7/19/20,244434
7/20/20,244624
7/21/20,244752
7/22/20,245032
7/23/20,245338
7/24/20,245590
7/25/20,245864
7/26/20,246118
7/27/20,246286
7/28/20,246488
7/29/20,246776
7/30/20,247158
7/31/20,247537
8/1/20,247832
8/2/20,248070
8/3/20,248229
8/4/20,248419
8/5/20,248803
8/6/20,249204
8/7/20,249756
8/8/20,250103
8/9/20,250566
8/10/20,250825
8/11/20,251237
8/12/20,251713
8/13/20,252235
8/14/20,252809
8/15/20,253438
8/16/20,253915
8/17/20,254235
8/18/20,254636
8/19/20,255278
8/20/20,256118
8/21/20,257065
8/22/20,258136
8/23/20,259345
8/24/20,260298
8/25/20,261174
8/26/20,262540
8/27/20,263949
8/28/20,265409
8/29/20,266853
8/30/20,268218
8/31/20,269214
9/1/20,270189
9/2/20,271515
9/3/20,272912
9/4/20,274644
9/5/20,276338
9/6/20,277634
9/7/20,278784
9/8/20,280153
9/9/20,281583
9/10/20,283180
9/11/20,284796
9/12/20,286297
9/13/20,287753
9/14/20,288761
9/15/20,289990
9/16/20,291442
9/17/20,293025
9/18/20,294932
9/19/20,296569
9/20/20,298156
9/21/20,299506
9/22/20,300897
9/23/20,302537
9/24/20,304323
9/25/20,306235
9/26/20,308104
9/27/20,309870
9/28/20,311364
9/29/20,313011
9/30/20,314861
10/1/20,317409
10/2/20,319908
10/3/20,322751
10/4/20,325329
10/5/20,327586
10/6/20,330263
10/7/20,333940
10/8/20,338398
10/9/20,343770
10/10/20,349494
10/11/20,354950
10/12/20,359569
10/13/20,365467
10/14/20,372799
10/15/20,381602
10/16/20,391611
10/17/20,402536
10/18/20,414241
10/19/20,423578
10/20/20,434449
10/21/20,449648
10/22/20,465726
10/23/20,484869
10/24/20,504509
10/25/20,525782
10/26/20,542789
10/27/20,564778
10/28/20,589766
10/29/20,616595
10/30/20,647674
10/31/20,679430
11/1/20,709335
11/2/20,731588
11/3/20,759829
11/4/20,790377
11/5/20,824879
11/6/20,862681
11/7/20,902490
11/8/20,935104
11/9/20,960373
11/10/20,995463
11/11/20,1028424
11/12/20,1066401
11/13/20,1107303
11/14/20,1144552
11/15/20,1178529
11/16/20,1205881
11/17/20,1238072
11/18/20,1272352
11/19/20,1308528
11/20/20,1345767
11/21/20,1380531
11/22/20,1408868
11/23/20,1431795
11/24/20,1455022
11/25/20,1480874
11/26/20,1509875
11/27/20,1538217
11/28/20,1564532
11/29/20,1585178
11/30/20,1601554
12/1/20,1620901
12/2/20,1641610
12/3/20,1664829
12/4/20,1688939
12/5/20,1709991
12/6/20,1728878
12/7/20,1742557
12/8/20,1757394
12/9/20,1770149
12/10/20,1787147
12/11/20,1805873
12/12/20,1825775
12/13/20,1843712
12/14/20,1855737
12/15/20,1870576
12/16/20,1888144
12/17/20,1906377
12/18/20,1921778
12/19/20,1938083
12/20/20,1953185
12/21/20,1964054
12/22/20,1977370
12/23/20,1991278
12/24/20,2009317
12/25/20,2028354
12/26/20,2038759
12/27/20,2047696
12/28/20,2056277
12/29/20,2067487
12/30/20,2083689
12/31/20,2107166
1/1/21,2129376
1/2/21,2141201
1/3/21,2155446
1/4/21,2166244
1/5/21,2181619
1/6/21,2201945
1/7/21,2220361
1/8/21,2237890
1/9/21,2257866
1/10/21,2276491
1/11/21,2289021
1/12/21,2303263
1/13/21,2319036
1/14/21,2336279
1/15/21,2352423
1/16/21,2368733
1/17/21,2381277
1/18/21,2390102
1/19/21,2400598
1/20/21,2414166
1/21/21,2428221
1/22/21,2441854
1/23/21,2455185
1/24/21,2466813
1/25/21,2475372
1/26/21,2485956
1/27/21,2501147
1/28/21,2515507
1/29/21,2529070
1/30/21,2541783
1/31/21,2553032
2/1/21,2560957
2/2/21,2570608
2/3/21,2583790
2/4/21,2597446
2/5/21,2611659
2/6/21,2625098
2/7/21,2636738
2/8/21,2644707
2/9/21,2655319
2/10/21,2668266
2/11/21,2683403
2/12/21,2697296
2/13/21,2710819
2/14/21,2721879
2/15/21,2729223
2/16/21,2739591
2/17/21,2751657
2/18/21,2765412
2/19/21,2780882
2/20/21,2795796
2/21/21,2809246
2/22/21,2818863
2/23/21,2832162
2/24/21,2848564
2/25/21,2868435
2/26/21,2888923
2/27/21,2907825
2/28/21,2925265
3/1/21,2938371
3/2/21,2955434
3/3/21,2976274
3/4/21,2999119
3/5/21,3023129
3/6/21,3046762
3/7/21,3067486
3/8/21,3081368
3/9/21,3101093
3/10/21,3123368
3/11/21,3149017
3/12/21,3175807
3/13/21,3201838
3/14/21,3223142
3/15/21,3238394
3/16/21,3258770
3/17/21,3281810
3/18/21,3306711
3/19/21,3332418
3/20/21,3356331
3/21/21,3376376
3/22/21,3400877
3/23/21,3419616
3/24/21,3440862
3/25/21,3464543
3/26/21,3488619
3/27/21,3512453
3/28/21,3532057
3/29/21,3544957
3/30/21,3561012
3/31/21,3584899
4/1/21,3607083
4/2/21,3629000
4/3/21,3650247
4/4/21,3668264
4/5/21,3678944
4/6/21,3686707
4/7/21,3700393
4/8/21,3717602
4/9/21,3736526
4/10/21,3754077
4/11/21,3769814
4/12/21,3779594
4/13/21,3793033
4/14/21,3809193
4/15/21,3826156
4/16/21,3842079
4/17/21,3857443
4/18/21,3870131
4/19/21,3878994
4/20/21,3891063
4/21/21,3904899
4/22/21,3920945
4/23/21,3935703
4/24/21,3949517
4/25/21,3962674
4/26/21,3971114
4/27/21,3981512
4/28/21,3994894
4/29/21,4009208
4/30/21,4022653
5/1/21,4035617
5/2/21,4044762
5/3/21,4050708
5/4/21,4059821
5/5/21,4070400
5/6/21,4082198
5/7/21,4092747
5/8/21,4102921
5/9/21,4111210
5/10/21,4116287
5/11/21,4123230
5/12/21,4131078
5/13/21,4139160
5/14/21,4146722
5/15/21,4153374
5/16/21,4159122
5/17/21,4162576
5/18/21,4167025
5/19/21,4172525
5/20/21,4178261
5/21/21,4183476
5/22/21,4188190
5/23/21,4192183
5/24/21,4194672
5/25/21,4197892
5/26/21,4201827
5/27/21,4205970
5/28/21,4209707
5/29/21,4213055
5/30/21,4216003
5/31/21,4217821
6/1/21,4220304
6/2/21,4223200
6/3/21,4225163
6/4/21,4227719
6/5/21,4230153
6/6/21,4232428
6/7/21,4233698
6/8/21,4235592
6/9/21,4237790
6/10/21,4239868
6/11/21,4241760
6/12/21,4243482
6/13/21,4244872
6/14/21,4245779
6/15/21,4247032
6/16/21,4248432
6/17/21,4249755
6/18/21,4250902
6/19/21,4252095
6/20/21,4252976
6/21/21,4253460
6/22/21,4254294
6/23/21,4255434
6/24/21,4255700
6/25/21,4256451
6/26/21,4257289
6/27/21,4258069
6/28/21,4258456
6/29/21,4259133
6/30/21,4259909
7/1/21,4260788
7/2/21,4261582
7/3/21,4262511
7/4/21,4263317
7/5/21,4263797
7/6/21,4264704
7/7/21,4265714
7/8/21,4267105
7/9/21,4268491
7/10/21,4269885
7/11/21,4271276
7/12/21,4272163
7/13/21,4273693
7/14/21,4275846
7/15/21,4278319
7/16/21,4281214
7/17/21,4284332
7/18/21,4287458
7/19/21,4289528
7/20/21,4293083
7/21/21,4297337
7/22/21,4302393
7/23/21,4307535
7/24/21,4312673
7/25/21,4317415
7/26/21,4320530
7/27/21,4325046
7/28/21,4330739
7/29/21,4336906
7/30/21,4343519
7/31/21,4350028
8/1/21,4355348
8/2/21,4358533
8/3/21,4363374
8/4/21,4369964
8/5/21,4377188
8/6/21,4383787
8/7/21,4390684
8/8/21,4396417
8/9/21,4400617
8/10/21,4406241
8/11/21,4413162
8/12/21,4420429
8/13/21,4427827
8/14/21,4435008
8/15/21,4440669
8/16/21,4444338
8/17/21,4449606
8/18/21,4456765
8/19/21,4464005
8/20/21,4471225
8/21/21,4478691
8/22/21,4484613
8/23/21,4488779
8/24/21,4494857
8/25/21,4502396
8/26/21,4509611
8/27/21,4517434
8/28/21,4524292
8/29/21,4530246
8/30/21,4534499
8/31/21,4539991
9/1/21,4546487
9/2/21,4553241
9/3/21,4559970
9/4/21,4566126
9/5/21,4571440
9/6/21,4574787
9/7/21,4579502
9/8/21,4585423
9/9/21,4590941
9/10/21,4596558
9/11/21,4601749
9/12/21,4606413
9/13/21,4609205
9/14/21,4613214
9/15/21,4618040
9/16/21,4623155
9/17/21,4627699
9/18/21,4632275
9/19/21,4636111
9/20/21,4638516
9/21/21,4641890
9/22/21,4645853
9/23/21,4649906
9/24/21,4653696
9/25/21,4657215
9/26/21,4660314
9/27/21,4662087
9/28/21,4665049
9/29/21,4668261
9/30/21,4672355
10/1/21,4675758
10/2/21,4679067
10/3/21,4682034
10/4/21,4683646
10/5/21,4686109
10/6/21,4689341
10/7/21,4692274
10/8/21,4695291
10/9/21,4698038
10/10/21,4700316
10/11/21,4701832
10/12/21,4704318
10/13/21,4707087
10/14/21,4709753
10/15/21,4712482
10/16/21,4715464
10/17/21,4717899
10/18/21,4719493
10/19/21,4722188
10/20/21,4725887
10/21/21,4729678
10/22/21,4733557
10/23/21,4737462
10/24/21,4741185
10/25/21,4743720
10/26/21,4747773
10/27/21,4752368
10/28/21,4757231
10/29/21,4762563
10/30/21,4767440
10/31/21,4771965
11/1/21,4774783
11/2/21,4777614
11/3/21,4782802
11/4/21,4788704
11/5/21,4795465
11/6/21,4802225
11/7/21,4808047
11/8/21,4812594
11/9/21,4818705
11/10/21,4826738
11/11/21,4835435
11/12/21,4843957
11/13/21,4852496
11/14/21,4860061
11/15/21,4865260
11/16/21,4873075
11/17/21,4883242
11/18/21,4893887
11/19/21,4904441
11/20/21,4915981
11/21/21,4925688
11/22/21,4932091
11/23/21,4942135
11/24/21,4954585
11/25/21,4968341
11/26/21,4982022
11/27/21,4994891
11/28/21,5007818
11/29/21,5015790
11/30/21,5028547
12/1/21,5043620
12/2/21,5060430
12/3/21,5077445
12/4/21,5094072
12/5/21,5109082
12/6/21,5118576
12/7/21,5134318
12/8/21,5152264
12/9/21,5164780
12/10/21,5185270
12/11/21,5206305
12/12/21,5225517
12/13/21,5238221
12/14/21,5258886
12/15/21,5282076
12/16/21,5308180
12/17/21,5336795
12/18/21,5364852
12/19/21,5389155
12/20/21,5405360
12/21/21,5436143
12/22/21,5472469
12/23/21,5517054
12/24/21,5567644
12/25/21,5622431
12/26/21,5647313
12/27/21,5678112
12/28/21,5756412
12/29/21,5854428
12/30/21,5981428
12/31/21,6125683
